,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age_x,Age_y,BLK,BLK%,BPM,DBPM,DRB,DRB%,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,GS,G_x,G_y,Lg_x,Lg_y,MP_x,MP_y,OBPM,ORB,ORB%,OWS,PER,PF,PTS,Player,Pos_x,Pos_y,STL,STL%,Season,TOV,TOV%,TRB,TRB%,TS%,Tm_x,Tm_y,USG%,Unnamed: 100_x,Unnamed: 100_y,Unnamed: 101_x,Unnamed: 101_y,Unnamed: 102_x,Unnamed: 102_y,Unnamed: 103_x,Unnamed: 103_y,Unnamed: 104_x,Unnamed: 104_y,Unnamed: 105_x,Unnamed: 105_y,Unnamed: 106_x,Unnamed: 106_y,Unnamed: 107_x,Unnamed: 107_y,Unnamed: 108_x,Unnamed: 108_y,Unnamed: 109_x,Unnamed: 109_y,Unnamed: 110_x,Unnamed: 110_y,Unnamed: 111_x,Unnamed: 111_y,Unnamed: 112_x,Unnamed: 112_y,Unnamed: 113_x,Unnamed: 113_y,Unnamed: 114_x,Unnamed: 114_y,Unnamed: 115_x,Unnamed: 115_y,Unnamed: 116,Unnamed: 116_x,Unnamed: 116_y,Unnamed: 117,Unnamed: 117_x,Unnamed: 117_y,Unnamed: 118,Unnamed: 118_x,Unnamed: 118_y,Unnamed: 119,Unnamed: 119_x,Unnamed: 119_y,Unnamed: 120_x,Unnamed: 120_y,Unnamed: 121_x,Unnamed: 121_y,Unnamed: 122_x,Unnamed: 122_y,Unnamed: 123_x,Unnamed: 123_y,Unnamed: 124_x,Unnamed: 124_y,Unnamed: 125_x,Unnamed: 125_y,Unnamed: 126_x,Unnamed: 126_y,Unnamed: 127_x,Unnamed: 127_y,Unnamed: 128_x,Unnamed: 128_y,Unnamed: 129_x,Unnamed: 129_y,Unnamed: 130_x,Unnamed: 130_y,Unnamed: 131_x,Unnamed: 131_y,Unnamed: 132_x,Unnamed: 132_y,Unnamed: 133_x,Unnamed: 133_y,Unnamed: 134_x,Unnamed: 134_y,Unnamed: 135_x,Unnamed: 135_y,Unnamed: 136_x,Unnamed: 136_y,Unnamed: 137_x,Unnamed: 137_y,Unnamed: 138_x,Unnamed: 138_y,Unnamed: 139_x,Unnamed: 139_y,Unnamed: 140_x,Unnamed: 140_y,Unnamed: 141_x,Unnamed: 141_y,Unnamed: 142_x,Unnamed: 142_y,Unnamed: 143_x,Unnamed: 143_y,Unnamed: 144_x,Unnamed: 144_y,Unnamed: 145,Unnamed: 145_x,Unnamed: 145_y,Unnamed: 146,Unnamed: 146_x,Unnamed: 146_y,Unnamed: 147,Unnamed: 147_x,Unnamed: 147_y,Unnamed: 148,Unnamed: 148_x,Unnamed: 148_y,Unnamed: 149,Unnamed: 149_x,Unnamed: 149_y,Unnamed: 150_x,Unnamed: 150_y,Unnamed: 151_x,Unnamed: 151_y,Unnamed: 152_x,Unnamed: 152_y,Unnamed: 153_x,Unnamed: 153_y,Unnamed: 154_x,Unnamed: 154_y,Unnamed: 155_x,Unnamed: 155_y,Unnamed: 156_x,Unnamed: 156_y,Unnamed: 157_x,Unnamed: 157_y,Unnamed: 158_x,Unnamed: 158_y,Unnamed: 159_x,Unnamed: 159_y,Unnamed: 160_x,Unnamed: 160_y,Unnamed: 161_x,Unnamed: 161_y,Unnamed: 162_x,Unnamed: 162_y,Unnamed: 163_x,Unnamed: 163_y,Unnamed: 164_x,Unnamed: 164_y,Unnamed: 165_x,Unnamed: 165_y,Unnamed: 166_x,Unnamed: 166_y,Unnamed: 167_x,Unnamed: 167_y,Unnamed: 168_x,Unnamed: 168_y,Unnamed: 169_x,Unnamed: 169_y,Unnamed: 170_x,Unnamed: 170_y,Unnamed: 171_x,Unnamed: 171_y,Unnamed: 172_x,Unnamed: 172_y,Unnamed: 173_x,Unnamed: 173_y,Unnamed: 174,Unnamed: 174_x,Unnamed: 174_y,Unnamed: 175,Unnamed: 175_x,Unnamed: 175_y,Unnamed: 176,Unnamed: 176_x,Unnamed: 176_y,Unnamed: 177,Unnamed: 177_x,Unnamed: 177_y,Unnamed: 178,Unnamed: 178_x,Unnamed: 178_y,Unnamed: 179,Unnamed: 179_x,Unnamed: 179_y,Unnamed: 180_x,Unnamed: 180_y,Unnamed: 181_x,Unnamed: 181_y,Unnamed: 182_x,Unnamed: 182_y,Unnamed: 183_x,Unnamed: 183_y,Unnamed: 184_x,Unnamed: 184_y,Unnamed: 185_x,Unnamed: 185_y,Unnamed: 186_x,Unnamed: 186_y,Unnamed: 187_x,Unnamed: 187_y,Unnamed: 188_x,Unnamed: 188_y,Unnamed: 189_x,Unnamed: 189_y,Unnamed: 19,Unnamed: 190_x,Unnamed: 190_y,Unnamed: 191_x,Unnamed: 191_y,Unnamed: 192_x,Unnamed: 192_y,Unnamed: 193_x,Unnamed: 193_y,Unnamed: 194_x,Unnamed: 194_y,Unnamed: 195_x,Unnamed: 195_y,Unnamed: 196_x,Unnamed: 196_y,Unnamed: 197_x,Unnamed: 197_y,Unnamed: 198_x,Unnamed: 198_y,Unnamed: 199_x,Unnamed: 199_y,Unnamed: 200_x,Unnamed: 200_y,Unnamed: 201_x,Unnamed: 201_y,Unnamed: 202_x,Unnamed: 202_y,Unnamed: 203,Unnamed: 203_x,Unnamed: 203_y,Unnamed: 204,Unnamed: 204_x,Unnamed: 204_y,Unnamed: 205,Unnamed: 205_x,Unnamed: 205_y,Unnamed: 206,Unnamed: 206_x,Unnamed: 206_y,Unnamed: 207,Unnamed: 207_x,Unnamed: 207_y,Unnamed: 208,Unnamed: 208_x,Unnamed: 208_y,Unnamed: 209,Unnamed: 209_x,Unnamed: 209_y,Unnamed: 210_x,Unnamed: 210_y,Unnamed: 211_x,Unnamed: 211_y,Unnamed: 212_x,Unnamed: 212_y,Unnamed: 213_x,Unnamed: 213_y,Unnamed: 214_x,Unnamed: 214_y,Unnamed: 215_x,Unnamed: 215_y,Unnamed: 216_x,Unnamed: 216_y,Unnamed: 217_x,Unnamed: 217_y,Unnamed: 218_x,Unnamed: 218_y,Unnamed: 219_x,Unnamed: 219_y,Unnamed: 220_x,Unnamed: 220_y,Unnamed: 221_x,Unnamed: 221_y,Unnamed: 222_x,Unnamed: 222_y,Unnamed: 223_x,Unnamed: 223_y,Unnamed: 224_x,Unnamed: 224_y,Unnamed: 225_x,Unnamed: 225_y,Unnamed: 226_x,Unnamed: 226_y,Unnamed: 227_x,Unnamed: 227_y,Unnamed: 228_x,Unnamed: 228_y,Unnamed: 229_x,Unnamed: 229_y,Unnamed: 230_x,Unnamed: 230_y,Unnamed: 231_x,Unnamed: 231_y,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 24,Unnamed: 29,Unnamed: 30_x,Unnamed: 30_y,Unnamed: 31_x,Unnamed: 31_y,Unnamed: 32_x,Unnamed: 32_y,Unnamed: 33_x,Unnamed: 33_y,Unnamed: 34_x,Unnamed: 34_y,Unnamed: 35_x,Unnamed: 35_y,Unnamed: 36_x,Unnamed: 36_y,Unnamed: 37_x,Unnamed: 37_y,Unnamed: 38_x,Unnamed: 38_y,Unnamed: 39_x,Unnamed: 39_y,Unnamed: 40_x,Unnamed: 40_y,Unnamed: 41_x,Unnamed: 41_y,Unnamed: 42_x,Unnamed: 42_y,Unnamed: 43_x,Unnamed: 43_y,Unnamed: 44_x,Unnamed: 44_y,Unnamed: 45_x,Unnamed: 45_y,Unnamed: 46_x,Unnamed: 46_y,Unnamed: 47_x,Unnamed: 47_y,Unnamed: 48_x,Unnamed: 48_y,Unnamed: 49_x,Unnamed: 49_y,Unnamed: 50_x,Unnamed: 50_y,Unnamed: 51_x,Unnamed: 51_y,Unnamed: 52_x,Unnamed: 52_y,Unnamed: 53_x,Unnamed: 53_y,Unnamed: 54_x,Unnamed: 54_y,Unnamed: 55_x,Unnamed: 55_y,Unnamed: 56_x,Unnamed: 56_y,Unnamed: 57_x,Unnamed: 57_y,Unnamed: 58_x,Unnamed: 58_y,Unnamed: 59_x,Unnamed: 59_y,Unnamed: 60_x,Unnamed: 60_y,Unnamed: 61_x,Unnamed: 61_y,Unnamed: 62_x,Unnamed: 62_y,Unnamed: 63_x,Unnamed: 63_y,Unnamed: 64_x,Unnamed: 64_y,Unnamed: 65_x,Unnamed: 65_y,Unnamed: 66_x,Unnamed: 66_y,Unnamed: 67_x,Unnamed: 67_y,Unnamed: 68_x,Unnamed: 68_y,Unnamed: 69_x,Unnamed: 69_y,Unnamed: 70_x,Unnamed: 70_y,Unnamed: 71_x,Unnamed: 71_y,Unnamed: 72_x,Unnamed: 72_y,Unnamed: 73_x,Unnamed: 73_y,Unnamed: 74_x,Unnamed: 74_y,Unnamed: 75_x,Unnamed: 75_y,Unnamed: 76_x,Unnamed: 76_y,Unnamed: 77_x,Unnamed: 77_y,Unnamed: 78_x,Unnamed: 78_y,Unnamed: 79_x,Unnamed: 79_y,Unnamed: 80_x,Unnamed: 80_y,Unnamed: 81_x,Unnamed: 81_y,Unnamed: 82_x,Unnamed: 82_y,Unnamed: 83_x,Unnamed: 83_y,Unnamed: 84_x,Unnamed: 84_y,Unnamed: 85_x,Unnamed: 85_y,Unnamed: 86_x,Unnamed: 86_y,Unnamed: 87_x,Unnamed: 87_y,Unnamed: 88_x,Unnamed: 88_y,Unnamed: 89_x,Unnamed: 89_y,Unnamed: 90_x,Unnamed: 90_y,Unnamed: 91_x,Unnamed: 91_y,Unnamed: 92_x,Unnamed: 92_y,Unnamed: 93_x,Unnamed: 93_y,Unnamed: 94_x,Unnamed: 94_y,Unnamed: 95_x,Unnamed: 95_y,Unnamed: 96_x,Unnamed: 96_y,Unnamed: 97_x,Unnamed: 97_y,Unnamed: 98_x,Unnamed: 98_y,Unnamed: 99_x,Unnamed: 99_y,VORP,WS,WS/48,eFG%
76,558,0.491,1136,16,0.222,72,0.06,512,28.8,20.0,20.0,18,0.4,-0.6,-1.5,221,8.4,1.5,574,0.475,1208,197,0.7879999999999999,250,0.207,80.0,81,81,NBA,NBA,3000,3000,0.9,96,3.7,3.4,16.0,125,1361,Derrick Rose,PG,PG,66,1.1,2008-09,202,13.3,317,6.1,0.516,CHI,CHI,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,4.9,0.078,0.48200000000000004
77,656,0.5,1313,16,0.267,60,0.044000000000000004,469,30.3,21.0,21.0,27,0.7,0.5,-1.3,228,8.7,2.5,672,0.489,1373,259,0.7659999999999999,338,0.24600000000000002,78.0,78,78,NBA,NBA,2871,2871,1.7,65,2.6,3.5,18.6,96,1619,Derrick Rose,PG,PG,57,1.0,2009-10,217,12.5,293,5.7,0.532,CHI,CHI,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,6.0,0.1,0.495
78,583,0.48100000000000004,1212,128,0.332,385,0.24100000000000002,623,38.7,22.0,22.0,51,1.3,5.9,0.1,249,9.4,4.8,711,0.445,1597,476,0.858,555,0.348,81.0,81,81,NBA,NBA,3026,3026,5.8,81,3.2,8.3,23.5,136,2026,Derrick Rose,PG,PG,85,1.5,2010-11,278,13.1,330,6.4,0.55,CHI,CHI,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,13.1,0.20800000000000002,0.485
79,248,0.475,522,54,0.312,173,0.249,307,40.3,23.0,23.0,28,1.4,4.9,-0.6,105,8.4,2.0,302,0.435,695,194,0.812,239,0.344,39.0,39,39,NBA,NBA,1375,1375,5.5,26,2.1,4.1,23.0,52,852,Derrick Rose,PG,PG,35,1.4,2011-12,119,12.9,131,5.3,0.532,CHI,CHI,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,6.0,0.21100000000000002,0.473
80,42,0.359,117,16,0.34,47,0.287,43,26.2,25.0,25.0,1,0.2,-5.1,-2.3,23,8.3,0.4,58,0.354,164,27,0.8440000000000001,32,0.195,10.0,10,10,NBA,NBA,311,311,-2.8,9,3.3,-0.6,9.7,15,159,Derrick Rose,PG,PG,5,0.9,2013-14,34,16.0,32,5.9,0.446,CHI,CHI,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.2,-0.036000000000000004,0.402
81,262,0.465,564,76,0.28,271,0.325,251,30.7,26.0,26.0,16,0.8,-1.3,-2.3,126,8.7,1.2,338,0.405,835,152,0.813,187,0.22399999999999998,51.0,51,51,NBA,NBA,1530,1530,1.1,35,2.6,0.0,15.9,63,904,Derrick Rose,PG,PG,36,1.2,2014-15,161,14.9,161,5.7,0.493,CHI,CHI,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.2,0.038,0.45
82,403,0.449,898,44,0.293,150,0.14300000000000002,311,25.5,27.0,27.0,14,0.5,-3.3,-2.1,179,8.8,1.2,447,0.42700000000000005,1048,142,0.7929999999999999,179,0.171,66.0,66,66,NBA,NBA,2097,2097,-1.2,46,2.4,-0.8,13.4,84,1080,Derrick Rose,PG,PG,44,1.1,2015-16,175,13.4,225,5.6,0.479,CHI,CHI,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,0.4,0.009000000000000001,0.44799999999999995
83,447,0.48700000000000004,917,13,0.217,60,0.061,283,22.8,28.0,28.0,17,0.7,-1.9,-2.2,180,9.3,0.6,460,0.47100000000000003,977,221,0.8740000000000001,253,0.259,64.0,64,64,NBA,NBA,2082,2082,0.2,66,3.4,2.4,17.0,84,1154,Derrick Rose,PG,PG,44,1.1,2016-17,147,11.9,246,6.4,0.53,NYK,NYK,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.068,0.47700000000000004
84,74,0.474,156,7,0.233,30,0.161,37,13.6,29.0,29.0,4,0.8,-7.8,-3.9,22,5.8,0.1,81,0.435,186,40,0.87,46,0.247,7.0,25,25,NBA,NBA,420,420,-3.8,13,3.5,-0.2,11.5,16,209,Derrick Rose,PG,PG,7,0.8,2017-18,35,14.5,35,4.7,0.507,TOT,TOT,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,-0.2,-0.018000000000000002,0.45399999999999996
85,74,0.474,156,7,0.233,30,0.182,37,13.0,29.0,29.0,4,1.1,-7.7,-3.8,22,6.8,0.0,81,0.435,186,40,0.87,46,0.311,7.0,25,16,NBA,NBA,420,308,-3.9,13,3.7,-0.1,11.6,16,209,Derrick Rose,PG,PG,7,0.5,2017-18,35,15.7,35,5.3,0.523,TOT,CLE,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.1,-0.013999999999999999,0.45399999999999996
86,74,0.474,156,7,0.233,30,0.111,37,15.2,29.0,29.0,4,0.0,-8.1,-4.3,22,3.1,0.0,81,0.435,186,40,0.87,46,0.09300000000000001,7.0,25,9,NBA,NBA,420,112,-3.8,13,3.1,-0.1,11.2,16,209,Derrick Rose,PG,PG,7,1.8,2017-18,35,11.1,35,3.1,0.46299999999999997,TOT,MIN,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.1,-0.028999999999999998,0.45399999999999996
87,52,0.48100000000000004,108,6,0.25,24,0.161,26,13.6,29.0,29.0,4,0.8,-7.8,-3.9,19,5.8,0.1,58,0.439,132,35,0.8540000000000001,41,0.247,7.0,16,25,NBA,NBA,308,420,-3.8,10,3.5,-0.2,11.5,14,157,Derrick Rose,PG,PG,3,0.8,2017-18,28,14.5,29,4.7,0.507,CLE,TOT,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,-0.2,-0.018000000000000002,0.462
88,52,0.48100000000000004,108,6,0.25,24,0.182,26,13.0,29.0,29.0,4,1.1,-7.7,-3.8,19,6.8,0.0,58,0.439,132,35,0.8540000000000001,41,0.311,7.0,16,16,NBA,NBA,308,308,-3.9,10,3.7,-0.1,11.6,14,157,Derrick Rose,PG,PG,3,0.5,2017-18,28,15.7,29,5.3,0.523,CLE,CLE,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.1,-0.013999999999999999,0.462
