Player,BPM,2P,3P
Kyle Kuzma,-1.3,309,159
DeAndre' Bembry,-1.3,64,9
Bruce Brown,-1.3,60,13
Isaac Bonga,-1.3,21,4
Mfiondu Kabengele,-1.3,3,5
Josh Okogie,-1.2,45,19
Dante Exum,-1.2,37,5
Edmond Sumner,-1.2,9,0
Alec Burks,-1.2,91,35
Cedi Osman,-1.1,46,39
Troy Daniels,-1.1,30,59
Kadeem Allen,-1.1,48,17
Doug McDermott,-1.1,47,47
Terrance Ferguson,-1.1,16,23
Georges Niang,-1.1,43,43
Omari Spellman,-1,54,44
Aaron Holiday,-1,51,35
Ryan Arcidiacono,-1,106,81
Darius Miller,-1,69,147
Austin Rivers,-0.9,205,136
Dion Waiters,-0.9,196,85
Tremont Waters,-0.9,1,1
Juan Hernangómez,-0.9,72,66
Treveon Graham,-0.9,56,40
Ben McLemore,-0.8,223,140
Mario Hezonja,-0.8,183,90
Trey Lyles,-0.8,187,83
Ish Smith,-0.8,301,28
Javonte Green,-0.8,18,3
Bryn Forbes,-0.7,185,176
JaKarr Sampson,-0.7,39,5
Jevon Carter,-0.7,8,14
Evan Turner,-0.7,323,20
Taurean Prince,-0.7,239,176
Kelly Oubre,-0.7,110,36
Miles Bridges,-0.6,172,65
Ja Morant,-0.6,111,19
Frank Kaminsky,-0.6,64,30
Mike Scott,-0.6,114,62
Ivan Rabb,-0.6,113,3
Malik Beasley,-0.5,186,163
Alex Caruso,-0.5,33,18
Tony Snell,-0.5,18,42
Tyler Cook,-0.5,5,0
Gary Clark,-0.4,4,11
DaQuan Jeffries,-0.4,1,0
Bogdan Bogdanović,-0.4,56,61
Rodney McGruder,-0.4,117,73
Allen Crabbe,-0.3,33,30
Thon Maker,-0.3,17,7
Jake Layman,-0.3,157,59
Shai Gilgeous-Alexander,-0.3,290,51
Raul Neto,-0.3,31,10
Landry Shamet,-0.2,54,99
E'Twaun Moore,-0.2,295,128
Jalen Brunson,-0.2,56,15
Caris LeVert,-0.2,159,48
Mohamed Bamba,-0.2,96,21
Josh Hart,-0.1,98,78
Brad Wanamaker,-0.1,45,12
Torrey Craig,-0.1,99,61
Jordan Clarkson,-0.1,73,48
Isaiah Hartenstein,0,11,0
Bojan Bogdanović,0,358,164
Solomon Hill,0,69,24
Noah Vonleh,0,161,46
Kenrich Williams,0.1,23,22
Patrick McCaw,0.1,17,9
Luke Kennard,0.1,70,61
Zach Collins,0.1,149,40
Matt Thomas,0.1,6,14
Jabari Parker,0.2,334,65
Avery Bradley,0.2,309,147
Shabazz Napier,0.2,141,82
Kristaps Porziņģis,0.2,292,81
Deandre Ayton,0.2,509,0
Michael Kidd-Gilchrist,0.2,294,1
Yogi Ferrell,0.2,82,60
Shaquille Harrison,0.2,53,6
Sterling Brown,0.3,18,19
Bobby Portis,0.3,302,80
Jahlil Okafor,0.3,59,1
Jerami Grant,0.3,294,115
Cameron Johnson,0.3,26,44
Terrence Ross,0.3,69,46
Wendell Carter,0.4,122,2
Spencer Dinwiddie,0.4,119,45
Norman Powell,0.4,76,41
Derrick Walton,0.5,3,4
Kent Bazemore,0.5,176,108
Cheick Diallo,0.5,40,1
Langston Galloway,0.5,35,61
Gary Trent,0.5,287,0
Tyus Jones,0.5,105,45
Tony Bradley,0.6,33,0
Wayne Ellington,0.6,12,57
Kris Dunn,0.6,66,11
Cory Joseph,0.7,191,16
Luke Kornet,0.7,37,70
Rodney Hood,0.7,247,161
JaMychal Green,0.7,195,55
Ryan Broekhoff,0.7,0,4
Reggie Bullock,0.7,142,125
Wilson Chandler,0.7,158,52
Marcus Morris,0.7,302,108
Goga Bitadze,0.8,22,4
De'Anthony Melton,0.8,23,6
Alex Len,0.8,213,1
Bruno Caboclo,0.8,4,2
Moritz Wagner,0.8,71,22
Cristiano Felício,0.9,40,0
Glenn Robinson,0.9,316,31
Dorian Finney-Smith,0.9,45,30
Marquese Chriss,0.9,65,4
Jeremy Lamb,0.9,286,94
Trey Burke,1,155,38
Markieff Morris,1,377,34
CJ McCollum,1,507,185
Jayson Tatum,1,292,105
Courtney Lee,1,223,72
Zach LaVine,1,123,82
Jaxson Hayes,1,79,0
Joe Harris,1,191,183
Buddy Hield,1.1,345,278
De'Aaron Fox,1.1,419,86
Tomáš Satoranský,1.1,154,47
Kentavious Caldwell-Pope,1.1,289,114
Harrison Barnes,1.1,229,87
Jeff Green,1.1,381,104
Elfrid Payton,1.1,213,25
Danuel House,1.2,26,43
Dejounte Murray,1.2,261,9
Jaren Jackson,1.2,55,53
Mikal Bridges,1.2,50,12
Jonah Bolden,1.2,46,34
Donovan Mitchell,1.3,181,59
Eric Gordon,1.3,321,106
Vincent Poirier,1.3,7,0
Julius Randle,1.4,504,67
Devonte' Graham,1.4,73,105
Meyers Leonard,1.4,82,50
Josh Richardson,1.4,272,127
JJ Redick,1.4,132,111
Jaylen Brown,1.5,114,40
Maxi Kleber,1.5,98,77
Donte DiVincenzo,1.5,43,29
Anthony Tolliver,1.5,60,159
Tim Frazier,1.5,63,13
Gary Harris,1.5,213,107
Tyler Johnson,1.5,264,93
Jamal Murray,1.5,111,38
Thomas Bryant,1.6,276,33
Rondae Hollis-Jefferson,1.6,57,1
Brandon Ingram,1.6,148,50
Taj Gibson,1.6,263,0
Tristan Thompson,1.6,132,3
Jonas Valančiūnas,1.6,287,14
Dewayne Dedmon,1.7,161,0
Devin Booker,1.7,159,54
Lonzo Ball,1.7,113,90
Mike Muscala,1.7,74,9
John Collins,1.7,298,16
Marco Belinelli,1.7,211,126
Aaron Gordon,1.8,232,42
Udonis Haslem,1.8,346,0
Marcus Smart,1.8,113,126
